Entity,year,diabetes,obesity,calories
Central African Republic,2028,6.5095553,3.944837,2390.9045
Central African Republic,2029,6.2313156,3.889907,2249.6252
Central African Republic,2030,6.9608803,5.1803055,2488.4263
Central African Republic,2031,7.188726,8.395989,2623.9668
Chad,2022,8.2238865,15.528789,2485.2146
Chad,2023,7.909442,16.645163,2722.8386
Chad,2024,6.9987493,16.093693,2809.3281
Chad,2025,7.5144334,14.150762,2893.5056
Chad,2026,8.219738,10.467569,2958.9456
Chad,2027,8.44998,7.627733,2940.6982
Chad,2028,7.5471807,10.364249,2286.9417
Chad,2029,7.2271857,12.378752,2432.5786
Chad,2030,6.518259,9.797417,2646.4355
Chad,2031,6.7125797,18.900023,3151.202
Chile,2022,7.749158,21.377817,2847.377
Chile,2023,7.895735,20.653572,2675.5156
Chile,2024,9.292056,22.428307,2665.6265
Chile,2025,8.591356,21.544605,2675.4094
Chile,2026,9.947024,24.545046,2693.1912
Chile,2027,11.185938,26.318132,2729.0488
Chile,2028,10.194341,24.810505,2754.1272
Chile,2029,8.336889,22.752747,2777.5063
Chile,2030,5.6326404,15.741912,2645.5706
Chile,2031,8.760467,13.826478,2750.0042
China,2022,7.288926,15.644869,2478.2463
China,2023,7.102257,15.566323,2461.597
China,2024,7.4534764,16.191803,2481.5144
China,2025,7.430473,18.177729,2623.1682
China,2026,6.748817,20.219347,2778.0027
China,2027,5.8127275,19.05302,2659.5781
China,2028,4.407091,13.850996,2232.904
China,2029,3.190857,4.9367704,2100.077
China,2030,6.5616093,7.536201,2187.6238
China,2031,6.583032,7.270172,2345.7793
Colombia,2022,10.8374,19.709877,3053.6514
Colombia,2023,10.715891,18.132774,2905.8298
Colombia,2024,10.56094,17.785194,2812.2593
Colombia,2025,10.001468,17.09616,2724.9346
Colombia,2026,9.100703,16.416473,2692.4639
Colombia,2027,8.535873,17.029243,2710.6335
Colombia,2028,7.9271107,19.723318,2849.5417
Colombia,2029,7.2820654,22.8251,3144.28
Colombia,2030,9.077416,20.813683,3260.0408
Colombia,2031,12.890171,24.020063,3198.324
Comoros,2022,8.956898,16.859938,2369.3638
Comoros,2023,8.996364,18.220615,2583.2625
Comoros,2024,7.9576883,17.777617,2577.1514
Comoros,2025,8.674187,19.761047,2799.16
Comoros,2026,9.404385,18.898361,2706.0432
Comoros,2027,10.25787,19.020504,2640.6997
Comoros,2028,10.263955,17.792713,2768.0146
Comoros,2029,6.867846,7.0685396,2722.6545
Comoros,2030,5.9906993,2.1858706,2310.4316
Comoros,2031,9.223504,12.349623,2639.8132
Congo,2022,6.1755905,13.959176,2564.0781
Congo,2023,5.7858424,12.418816,2707.4917
Congo,2024,5.919491,8.294517,2490.0046
Congo,2025,6.2444167,5.660713,2500.8547
Congo,2026,7.121505,3.291784,2454.8945
Congo,2027,5.801862,-1.0505543,2336.1965
Congo,2028,4.2777276,-1.6276208,2264.5142
Congo,2029,6.2301135,5.313625,2661.6785
Congo,2030,6.3050666,3.6185577,2280.3225
Congo,2031,5.9527645,7.682139,2407.2974
Costa Rica,2022,8.12213,20.67759,3087.3875
Costa Rica,2023,9.031018,22.482315,3068.6602
Costa Rica,2024,9.50376,23.33774,3073.484
Costa Rica,2025,8.910846,22.523058,3001.6174
Costa Rica,2026,9.337171,20.119884,2753.9072
Costa Rica,2027,10.8022785,20.374521,2665.5576
Costa Rica,2028,13.93166,27.232645,2899.2393
Costa Rica,2029,13.381106,30.066013,3141.0474
Costa Rica,2030,8.677652,27.717785,3155.3296
Costa Rica,2031,7.6009026,26.018005,3216.987
Cote d'Ivoire,2022,6.7019296,11.615733,2440.5662
Cote d'Ivoire,2023,6.1778874,5.732834,2213.29
Cote d'Ivoire,2024,6.793603,4.888062,2303.7805
Cote d'Ivoire,2025,6.363188,4.9985867,2371.3142
Cote d'Ivoire,2026,6.0122733,5.086406,2442.845
Cote d'Ivoire,2027,6.4113913,10.106679,2487.474
Cote d'Ivoire,2028,7.698683,18.708216,2772.4207
Cote d'Ivoire,2029,7.6339054,21.989855,3050.7449
